Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,598.0,602.0,594.0,602.0,599.5123901367188,43091157
2021-04-07,614.0,614.0,608.0,610.0,607.4793701171875,24603109
2021-04-08,606.0,613.0,603.0,613.0,610.4669799804688,23976625
2021-04-09,618.0,618.0,609.0,610.0,607.4793701171875,27303862
2021-04-12,612.0,613.0,603.0,605.0,602.5,22606128
2021-04-13,604.0,613.0,604.0,605.0,602.5,25971622
2021-04-14,608.0,612.0,600.0,612.0,609.4710693359375,30077913
2021-04-15,612.0,619.0,607.0,619.0,616.442138671875,33530942
2021-04-16,610.0,611.0,603.0,610.0,607.4793701171875,48507383
2021-04-19,605.0,607.0,601.0,603.0,600.50830078125,24231637
2021-04-20,598.0,602.0,595.0,602.0,599.5123901367188,34771635
2021-04-21,599.0,599.0,592.0,592.0,589.5537109375,38458220
2021-04-22,596.0,598.0,591.0,591.0,588.557861328125,33868521
2021-04-23,592.0,602.0,590.0,602.0,599.5123901367188,27754511
2021-04-26,605.0,610.0,603.0,610.0,607.4793701171875,30887664
2021-04-27,608.0,611.0,605.0,610.0,607.4793701171875,26317481
2021-04-28,606.0,608.0,601.0,602.0,599.5123901367188,24024054
2021-04-29,609.0,609.0,600.0,600.0,597.5206909179688,31828333
2021-05-03,595.0,597.0,588.0,588.0,585.5702514648438,41762441
2021-05-04,588.0,594.0,582.0,591.0,588.557861328125,40273595
2021-05-05,594.0,594.0,585.0,585.0,582.5826416015625,29254785
2021-05-06,590.0,590.0,580.0,587.0,584.5744018554688,30725590
2021-05-07,594.0,600.0,589.0,599.0,596.5247802734375,28075722
2021-05-10,596.0,597.0,588.0,589.0,586.5661010742188,20434079
2021-05-11,579.0,580.0,570.0,571.0,568.6405029296875,59349193
2021-05-12,567.0,571.0,518.0,560.0,557.6859741210938,131741482
2021-05-13,547.0,563.0,541.0,547.0,544.7396850585938,66765627
2021-05-14,556.0,562.0,552.0,557.0,554.6983642578125,37533726
2021-05-17,544.0,558.0,541.0,549.0,546.7314453125,56270958
2021-05-18,563.0,573.0,555.0,572.0,569.6363525390625,43689316
2021-05-19,571.0,572.0,565.0,567.0,564.6570434570312,28908777
2021-05-20,567.0,571.0,560.0,567.0,564.6570434570312,29709287
2021-05-21,572.0,577.0,568.0,573.0,570.6322631835938,27376731
2021-05-24,570.0,572.0,566.0,568.0,565.6528930664062,15629736
2021-05-25,576.0,584.0,573.0,583.0,580.5909423828125,33039911
2021-05-26,587.0,588.0,581.0,585.0,582.5826416015625,18703987
2021-05-27,580.0,582.0,573.0,582.0,579.5950317382812,62169719
2021-05-28,587.0,592.0,582.0,590.0,587.56201171875,29086873
2021-05-31,595.0,597.0,590.0,597.0,594.5330810546875,30657474
2021-06-01,598.0,599.0,595.0,598.0,595.5289306640625,17818326
2021-06-02,600.0,600.0,593.0,595.0,592.5413208007812,21872755
2021-06-03,600.0,600.0,596.0,596.0,593.5372314453125,21077164
2021-06-04,591.0,595.0,590.0,595.0,592.5413208007812,15756180
2021-06-07,594.0,595.0,583.0,592.0,589.5537109375,17077625
2021-06-08,590.0,595.0,588.0,589.0,586.5661010742188,13396324
2021-06-09,586.0,588.0,583.0,586.0,583.5785522460938,20023490
2021-06-10,591.0,599.0,587.0,599.0,596.5247802734375,28527745
2021-06-11,602.0,603.0,600.0,602.0,599.5123901367188,24227710
2021-06-15,607.0,609.0,606.0,609.0,606.4834594726562,26012250
2021-06-16,608.0,608.0,605.0,605.0,602.5,25856919
2021-06-17,601.0,606.0,598.0,606.0,606.0,22872361
2021-06-18,608.0,608.0,601.0,603.0,603.0,32652017
2021-06-21,590.0,594.0,583.0,583.0,583.0,44279632
2021-06-22,585.0,588.0,578.0,578.0,578.0,27823974
2021-06-23,583.0,598.0,581.0,595.0,595.0,34392376
2021-06-24,598.0,598.0,588.0,590.0,590.0,16524230
2021-06-25,598.0,598.0,589.0,591.0,591.0,18841696
2021-06-28,590.0,590.0,586.0,590.0,590.0,15028407
2021-06-29,598.0,598.0,591.0,595.0,595.0,28659610
2021-06-30,599.0,599.0,595.0,595.0,595.0,24883853
2021-07-01,596.0,597.0,591.0,593.0,593.0,18250994
